NOM_PROV,NOM_CANT_1,POBLACION
SAN JOSE,Acosta,  22 114
SAN JOSE,Alajuelita,  95 868
SAN JOSE,Aserrí,  64 022
SAN JOSE,Curridabat,  80 142
SAN JOSE,Desamparados,  123 390
SAN JOSE,Dota,  8 000
SAN JOSE,Escazú,  70 642
SAN JOSE,Goicoechea,  139 678
SAN JOSE,León Cortés Castro,  13 874
SAN JOSE,Montes de Oca,  62 713
SAN JOSE,Mora,  30 546
SAN JOSE,Moravia,  62 978
SAN JOSE,Pérez Zeledón,  143 222
SAN JOSE,Puriscal,  38 298
SAN JOSE,San José,  349 678
SAN JOSE,Santa Ana,  61 162
SAN JOSE,Tarrazú,  18 666
SAN JOSE,Tibás,  85 486
SAN JOSE,Turrubares,  3 629
SAN JOSE,Vazquez de Coronado,  72 311
ALAJUELA,Alajuela,  318 087
ALAJUELA,Atenas,  29 610
ALAJUELA,Grecia,  95 032
ALAJUELA,Guatuso,  19 460
ALAJUELA,Los Chiles,  34 441
ALAJUELA,Naranjo,  49 288
ALAJUELA,Orotina,  24 106
ALAJUELA,Palmares,  41 376
ALAJUELA,Poás,  34 470
ALAJUELA,Río Cuarto,  8 136
ALAJUELA,San Carlos,  203 149
ALAJUELA,San Mateo,  7 208
ALAJUELA,San Ramón,  94 843
ALAJUELA,Sarchí,  54 766
ALAJUELA,Upala,  22 392
ALAJUELA,Zarcero,  14 489
CARTAGO,Alvarado,  15 524
CARTAGO,Cartago,  165 195
CARTAGO,El Guarco,  46 638
CARTAGO,Jiménez,  16 338
CARTAGO,La Unión,  113 582
CARTAGO,Oreamuno,  50 292
CARTAGO,Paraíso,  63 376
CARTAGO,Turrialba,  73 606
HEREDIA,Barva,  47 611
HEREDIA,Belén,  26 662
HEREDIA,Flores,  25 147
HEREDIA,Heredia,  144 646
HEREDIA,San Isidro,  23 448
HEREDIA,San Pablo,  31 368
HEREDIA,San Rafael,  55 923
HEREDIA,Santa Bárbara,  43 337
HEREDIA,Santo Domingo,  49 461
HEREDIA,Sarapiquí,  85 351
GUANACASTE,Abangares,  20 154
GUANACASTE,Bagaces,  24 494
GUANACASTE,Cañas,  33 042
GUANACASTE,Carrillo,  46 855
GUANACASTE,Hojancha,  8 043
GUANACASTE,La Cruz,  27 581
GUANACASTE,Liberia,  78 312
GUANACASTE,Nandayure,  11 815
GUANACASTE,Nicoya,  57 125
GUANACASTE,Santa Cruz,  70 125
GUANACASTE,Tilarán,  21 863
PUNTARENAS,Aguirre,  33 548
PUNTARENAS,Buenos Aires,  54 111
PUNTARENAS,Corredores,  52 952
PUNTARENAS,Coto Brus,  44 293
PUNTARENAS,Esparza,  19 191
PUNTARENAS,Garabito,  26 721
PUNTARENAS,Golfito,  46 047
PUNTARENAS,Montes de Oro,  14 456
PUNTARENAS,Osa,  31 270
PUNTARENAS,Parrita,  20 594
PUNTARENAS,Puntarenas,  142 010
LIMON,Guácimo,  28 734
LIMON,Limón,  100 041
LIMON,Matina,  46 890
LIMON,Pococí,  152 689
LIMON,Siquirres,  65 307
LIMON,Talamanca,  43 982
